long,lat,system.index
106.0638,20.90968,361_0
94.83097,21.87043,341_0
95.23844,21.45002,283_0
95.34489,21.49529,437_0
95.3864,21.75023,192_0
96.73333,17.08636,331_0
99.77458,16.70664,382_0
100.0233,13.68291,510_0
107.3258,11.96542,454_0
109.1875,12.70115,538_0
100.2068,14.61483,90_0
100.7407,14.05374,250_0
101.1792,15.07701,163_0
101.2139,14.18283,166_0
102.6587,15.79467,151_0
102.8255,17.68221,107_0
103.1751,16.38109,10_0
103.1872,17.92826,139_0
103.2958,17.6876,168_0
103.5691,12.7793,76_0
104.6322,15.68768,169_0
105.1235,19.21995,185_0
105.2868,14.87893,31_0
105.4415,21.61468,405_0
105.9339,20.76685,5_0
106.126,20.9245,84_0
106.1282,15.49553,545_0
106.2257,11.14589,462_0
106.7723,22.29138,184_0
107.304,10.52794,181_0
95.52653,16.50183,474_0
97.37338,27.3983,56_0
98.56832,25.5528,50_0
99.22211,18.04064,65_0
99.81446,14.46957,172_0
99.94867,16.20862,217_0
106.2977,11.01088,290_0
105.1879,10.68128,276_0
105.2777,12.05436,563_0
107.2428,16.73548,92_0
99.81931,17.02815,256_0
99.82443,14.69487,204_0
104.8993,9.55776,591_0
101.0372,6.847992,414_0
101.9152,16.26548,82_0
102.0321,13.83302,62_0
102.4569,16.46706,551_0
102.9234,12.69333,123_0
103.9574,17.27177,542_0
104.4395,17.39951,3_0
105.5224,10.82358,141_0
97.09364,16.98692,346_0
105.7361,9.778207,262_0
102.4482,18.96689,186_0
105.7832,12.28208,284_0
100.9442,13.2625,330_0
101.5357,21.8486,427_0
99.71286,13.50855,248_0
96.5021,17.00821,127_0
100.2077,14.14159,313_0
100.5976,14.09282,310_0
100.6423,15.57504,103_0
101.1741,16.03291,131_0
101.1795,12.99597,242_0
101.8413,17.26045,363_0
102.493,16.67565,44_0
103.0724,17.0074,195_0
103.4941,16.05015,38_0
103.9485,22.86298,48_0
104.2649,12.319,87_0
105.2839,9.441069,220_0
105.4534,18.85317,352_0
105.5746,20.9493,255_0
106.0869,16.01701,67_0
106.5332,12.3756,112_0
106.5424,20.71969,61_0
106.6585,12.2201,387_0
107.2805,13.96373,94_0
108.1181,13.47971,64_0
94.62804,22.21188,69_0
95.40769,21.78284,203_0
95.4597,21.27026,189_0
95.53354,22.4873,257_0
95.53435,16.0612,99_0
95.7936,17.54315,104_0
95.94829,21.24089,162_0
95.99357,20.29712,81_0
96.10918,23.10229,40_0
96.26818,23.78195,51_0
96.88236,25.23345,196_0
97.26855,24.31906,46_0
98.38425,16.04692,467_0
99.04991,22.68673,150_0
99.44957,21.72113,143_0
99.4687,9.115789,23_0
99.63659,11.95734,316_0
99.90582,13.67779,28_0
100.0357,15.66127,315_0
107.0426,20.73505,398_0
94.34318,21.29102,322_0
98.88632,18.02771,297_0
100.8932,14.54098,400_0
101.1353,17.82208,332_0
104.0579,16.58753,309_0
105.738,21.30557,275_0
105.8924,10.02911,328_0
106.2581,13.56407,353_0
106.3427,9.970895,300_0
106.5176,11.21866,366_0
107.1051,16.88613,225_0
92.6901,20.58629,232_0
95.23548,21.6516,351_0
95.61088,16.90068,26_0
95.98306,17.17044,295_0
97.7027,26.15809,210_0
97.70917,20.25104,218_0
98.91408,18.45458,229_0
99.06068,13.88881,343_0
99.72499,18.37455,380_0
99.74978,16.54468,288_0
99.76784,14.09578,205_0
99.86728,13.78586,231_0
99.87644,13.24391,347_0
100.3278,14.98215,259_0
100.4111,14.73367,355_0
100.9881,14.86465,102_0
101.5977,14.10656,15_0
102.7862,16.10109,74_0
102.8735,15.33384,109_0
103.7383,15.90705,190_0
104.0172,12.4807,16_0
104.674,16.04665,21_0
104.8691,17.31435,22_0
105.0238,19.58296,395_0
105.8358,9.93101,260_0
106.8458,11.13134,372_0
107.4085,16.64196,279_0
108.9536,13.93058,164_0
95.14924,18.71573,238_0
96.23126,21.44274,369_0
96.79855,20.8574,456_0
98.55161,21.26999,142_0
100.2378,13.87587,213_0
100.2909,16.04962,271_0
100.3769,13.62147,305_0
101.7572,16.00946,321_0
102.9975,15.02338,386_0
105.503,11.7943,383_0
106.0255,20.20899,357_0
106.0449,20.06374,254_0
96.94327,20.66148,282_0
98.22337,24.21692,348_0
98.36728,21.90681,216_0
99.83764,13.84353,345_0
99.98424,14.99778,274_0
100.2621,16.66218,219_0
100.3435,14.21112,360_0
100.9463,12.82323,317_0
102.608,13.84677,267_0
103.161,13.09946,303_0
103.6437,16.05258,324_0
104.2075,17.54315,286_0
104.8675,14.8094,304_0
105.6455,10.4576,221_0
105.9527,10.27785,208_0
106.5241,20.77871,272_0
106.6052,20.95549,394_0
106.7372,10.88637,268_0
106.834,10.8481,251_0
94.70053,22.12214,265_0
96.19919,19.88237,212_0
97.56499,16.32962,362_0
98.92917,18.57047,399_0
99.80045,17.39197,365_0
